"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","185","272","313","390","399","431","494","Epi_ref"
"tcaA","","Membrane-associated protein TcaA","8","8","1","2","2621","","","","1388","1388","1388","AJPKBNED_00524","JABOOPHC_00495","OAPGLPBN_00466","PLNEIAEP_01829","HCLGMOMD_01804","PNEBEOAF_00475","PILLALAE_01859","ECPKFHDG_00565"
"group_3216","","hypothetical protein","8","8","1","2","1560","","","","197","197","197","AJPKBNED_01429","JABOOPHC_01394","OAPGLPBN_01366","PLNEIAEP_00924","HCLGMOMD_00906","PNEBEOAF_01378","PILLALAE_00931","ECPKFHDG_01470"
"macB","","Macrolide export ATP-binding/permease protein MacB","8","8","1","2","2755","","","","1196","1196","1196","AJPKBNED_02366","JABOOPHC_02330","OAPGLPBN_02197","PLNEIAEP_00016","HCLGMOMD_00015","PNEBEOAF_02283","PILLALAE_00015","ECPKFHDG_02299"
"group_3218","","hypothetical protein","8","8","1","2","1032","","","","386","386","386","AJPKBNED_00885","JABOOPHC_00857","OAPGLPBN_00822","PLNEIAEP_01470","HCLGMOMD_01451","PNEBEOAF_00838","PILLALAE_01476","ECPKFHDG_00928"
"group_3219","","hypothetical protein","8","8","1","2","1159","","","","1238","1238","1238","AJPKBNED_01042","JABOOPHC_01014","OAPGLPBN_00981","PLNEIAEP_01315","HCLGMOMD_01292","PNEBEOAF_00995","PILLALAE_01319","ECPKFHDG_01085"
"group_322","","hypothetical protein","8","8","1","2","2573","","","","470","470","470","AJPKBNED_00478","JABOOPHC_00449","OAPGLPBN_00420","PLNEIAEP_01875","HCLGMOMD_01852","PNEBEOAF_00429","PILLALAE_01905","ECPKFHDG_00519"
"emrB","","Multidrug export protein EmrB","8","8","1","2","2200","","","","1439","1439","1439","AJPKBNED_00696","JABOOPHC_00666","OAPGLPBN_00640","PLNEIAEP_01657","HCLGMOMD_01633","PNEBEOAF_00647","PILLALAE_01688","ECPKFHDG_00738"
"yhfS","","Putative acetyl-CoA C-acetyltransferase YhfS","8","8","1","2","492","","","","1148","1148","1148","AJPKBNED_02153","JABOOPHC_02098","OAPGLPBN_01985","PLNEIAEP_00242","HCLGMOMD_00252","PNEBEOAF_02071","PILLALAE_00226","ECPKFHDG_02088"
"pepT_1","","Peptidase T","8","8","1","2","1369","","","","1124","1124","1124","AJPKBNED_01247","JABOOPHC_01219","OAPGLPBN_01185","PLNEIAEP_01111","HCLGMOMD_01088","PNEBEOAF_01199","PILLALAE_01114","ECPKFHDG_01289"
"group_3223","","hypothetical protein","8","8","1","2","2699","","","","665","665","665","AJPKBNED_02321","JABOOPHC_02263","OAPGLPBN_02149","PLNEIAEP_00060","HCLGMOMD_00089","PNEBEOAF_02235","PILLALAE_00060","ECPKFHDG_02251"
"group_3228","","hypothetical protein","8","8","1","2","1494","","","","335","338","335","AJPKBNED_01366","JABOOPHC_01330","OAPGLPBN_01303","PLNEIAEP_00988","HCLGMOMD_00970","PNEBEOAF_01313","PILLALAE_00994","ECPKFHDG_01407"
"group_3229","","hypothetical protein","8","8","1","2","1816","","","","1007","1007","1007","AJPKBNED_01674","JABOOPHC_01638","OAPGLPBN_01609","PLNEIAEP_00682","HCLGMOMD_00662","PNEBEOAF_01621","PILLALAE_00688","ECPKFHDG_01713"
"ytmI","","putative N-acetyltransferase YtmI","8","8","1","2","2575","","","","536","536","536","AJPKBNED_00480","JABOOPHC_00451","OAPGLPBN_00422","PLNEIAEP_01873","HCLGMOMD_01850","PNEBEOAF_00431","PILLALAE_01903","ECPKFHDG_00521"
"pstA","","Phosphate transport system permease protein PstA","8","8","1","2","1488","","","","905","905","905","AJPKBNED_01362","JABOOPHC_01326","OAPGLPBN_01299","PLNEIAEP_00993","HCLGMOMD_00974","PNEBEOAF_01309","PILLALAE_00998","ECPKFHDG_01403"
"smc_2","","Chromosome partition protein Smc","8","8","1","2","1650","","","","3569","3569","3569","AJPKBNED_01512","JABOOPHC_01476","OAPGLPBN_01448","PLNEIAEP_00842","HCLGMOMD_00823","PNEBEOAF_01460","PILLALAE_00849","ECPKFHDG_01552"
"ribD","","Riboflavin biosynthesis protein RibD","8","8","1","2","1121","","","","1043","1043","1043","AJPKBNED_01007","JABOOPHC_00978","OAPGLPBN_00944","PLNEIAEP_01352","HCLGMOMD_01330","PNEBEOAF_00959","PILLALAE_01354","ECPKFHDG_01050"
"opuD","","Glycine betaine transporter OpuD","8","8","1","2","1527","","","","1640","1640","1640","AJPKBNED_01397","JABOOPHC_01361","OAPGLPBN_01334","PLNEIAEP_00956","HCLGMOMD_00939","PNEBEOAF_01345","PILLALAE_00963","ECPKFHDG_01438"
"nos","","Nitric oxide synthase oxygenase","8","8","1","2","1006","","","","1067","1067","1067","AJPKBNED_00859","JABOOPHC_00831","OAPGLPBN_00796","PLNEIAEP_01497","HCLGMOMD_01477","PNEBEOAF_00812","PILLALAE_01502","ECPKFHDG_00902"
"dnaE","","DNA polymerase III subunit alpha","8","8","1","2","1184","","","","3197","3197","3197","AJPKBNED_01067","JABOOPHC_01040","OAPGLPBN_01006","PLNEIAEP_01291","HCLGMOMD_01267","PNEBEOAF_01020","PILLALAE_01294","ECPKFHDG_01110"
"trmR","","tRNA 5-hydroxyuridine methyltransferase","8","8","1","2","1263","","","","635","635","635","AJPKBNED_01145","JABOOPHC_01117","OAPGLPBN_01083","PLNEIAEP_01214","HCLGMOMD_01190","PNEBEOAF_01097","PILLALAE_01216","ECPKFHDG_01187"
"group_3237","","hypothetical protein","8","8","1","2","2465","","","","161","161","161","AJPKBNED_00381","JABOOPHC_00349","OAPGLPBN_00320","PLNEIAEP_01974","HCLGMOMD_01950","PNEBEOAF_00328","PILLALAE_02002","ECPKFHDG_00420"
"cobB","","NAD-dependent protein deacetylase","8","8","1","2","2232","","","","740","740","740","AJPKBNED_00665","JABOOPHC_00634","OAPGLPBN_00608","PLNEIAEP_01689","HCLGMOMD_01664","PNEBEOAF_00615","PILLALAE_01719","ECPKFHDG_00707"
"group_3239","","hypothetical protein","8","8","1","2","458","","","","509","509","509","AJPKBNED_02181","JABOOPHC_02127","OAPGLPBN_02014","PLNEIAEP_00213","HCLGMOMD_00223","PNEBEOAF_02099","PILLALAE_00198","ECPKFHDG_02117"
"nikA","","Nickel-binding protein NikA","8","8","1","2","2577","","","","1475","1475","1475","AJPKBNED_00482","JABOOPHC_00453","OAPGLPBN_00424","PLNEIAEP_01872","HCLGMOMD_01848","PNEBEOAF_00433","PILLALAE_01901","ECPKFHDG_00523"
"group_3240","","hypothetical protein","8","8","1","2","3122","","","","758","758","758","AJPKBNED_00253","JABOOPHC_00215","OAPGLPBN_00206","PLNEIAEP_02086","HCLGMOMD_02062","PNEBEOAF_00215","PILLALAE_02127","ECPKFHDG_00309"
"hemH","","Ferrochelatase","8","8","1","2","1090","","","","923","923","923","AJPKBNED_00972","JABOOPHC_00943","OAPGLPBN_00908","PLNEIAEP_01384","HCLGMOMD_01365","PNEBEOAF_00924","PILLALAE_01389","ECPKFHDG_01014"
"darA","","Cyclic di-AMP receptor A","8","8","1","2","2058","","","","329","335","330","AJPKBNED_02266","JABOOPHC_02211","OAPGLPBN_02098","PLNEIAEP_00130","HCLGMOMD_00139","PNEBEOAF_02183","PILLALAE_00114","ECPKFHDG_02201"
"prsA","","Foldase protein PrsA","8","8","1","2","1081","","","","977","977","977","AJPKBNED_00963","JABOOPHC_00934","OAPGLPBN_00899","PLNEIAEP_01394","HCLGMOMD_01374","PNEBEOAF_00915","PILLALAE_01398","ECPKFHDG_01005"
"mtnN","","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase","8","8","1","2","1275","","","","686","686","686","AJPKBNED_01157","JABOOPHC_01129","OAPGLPBN_01095","PLNEIAEP_01203","HCLGMOMD_01178","PNEBEOAF_01109","PILLALAE_01204","ECPKFHDG_01199"
"group_3245","","hypothetical protein","8","8","1","2","1004","","","","1097","1097","1097","AJPKBNED_00857","JABOOPHC_00829","OAPGLPBN_00794","PLNEIAEP_01500","HCLGMOMD_01479","PNEBEOAF_00810","PILLALAE_01504","ECPKFHDG_00900"
"opuCA_2","","Carnitine transport ATP-binding protein OpuCA","8","8","1","2","2542","","","","1256","1256","1256","AJPKBNED_00448","JABOOPHC_00419","OAPGLPBN_00390","PLNEIAEP_01904","HCLGMOMD_01882","PNEBEOAF_00399","PILLALAE_01935","ECPKFHDG_00489"
"hisI","","Histidine biosynthesis bifunctional protein HisIE","8","8","1","2","3185","","","","635","635","635","AJPKBNED_00200","JABOOPHC_00165","OAPGLPBN_00156","PLNEIAEP_02139","HCLGMOMD_02112","PNEBEOAF_00165","PILLALAE_02180","ECPKFHDG_00260"
"yfcJ","","putative MFS-type transporter YfcJ","8","8","1","2","2282","","","","1193","1193","1193","AJPKBNED_00618","JABOOPHC_00586","OAPGLPBN_00560","PLNEIAEP_01738","HCLGMOMD_01713","PNEBEOAF_00566","PILLALAE_01767","ECPKFHDG_00658"
"sarV","","HTH-type transcriptional regulator SarV","8","8","1","2","2284","","","","350","350","350","AJPKBNED_00615","JABOOPHC_00584","OAPGLPBN_00559","PLNEIAEP_01739","HCLGMOMD_01715","PNEBEOAF_00564","PILLALAE_01769","ECPKFHDG_00657"
"cysG","","Siroheme synthase","8","8","1","2","2582","","","","935","935","935","AJPKBNED_00486","JABOOPHC_00457","OAPGLPBN_00428","PLNEIAEP_01866","HCLGMOMD_01844","PNEBEOAF_00437","PILLALAE_01897","ECPKFHDG_00527"
"tsaE","","tRNA threonylcarbamoyladenosine biosynthesis protein TsaE","8","8","1","2","916","","","","461","461","461","AJPKBNED_00807","JABOOPHC_00777","OAPGLPBN_00752","PLNEIAEP_01547","HCLGMOMD_01521","PNEBEOAF_00759","PILLALAE_01577","ECPKFHDG_00849"
"group_3251","","hypothetical protein","8","8","1","2","1225","","","","680","680","680","AJPKBNED_01107","JABOOPHC_01080","OAPGLPBN_01046","PLNEIAEP_01251","HCLGMOMD_01227","PNEBEOAF_01060","PILLALAE_01254","ECPKFHDG_01150"
"group_3252","","hypothetical protein","8","8","1","2","1760","","","","536","536","536","AJPKBNED_01620","JABOOPHC_01583","OAPGLPBN_01555","PLNEIAEP_00737","HCLGMOMD_00716","PNEBEOAF_01567","PILLALAE_00742","ECPKFHDG_01659"
"group_3253","","hypothetical protein","8","8","1","2","2065","","","","530","530","530","AJPKBNED_02276","JABOOPHC_02221","OAPGLPBN_02108","PLNEIAEP_00120","HCLGMOMD_00129","PNEBEOAF_02193","PILLALAE_00104","ECPKFHDG_02211"
"atpH","","ATP synthase subunit delta","8","8","1","2","2148","","","","539","539","539","AJPKBNED_00754","JABOOPHC_00724","OAPGLPBN_00699","PLNEIAEP_01599","HCLGMOMD_01574","PNEBEOAF_00705","PILLALAE_01630","ECPKFHDG_00796"
"group_3255","","hypothetical protein","8","8","1","2","1023","","","","542","542","542","AJPKBNED_00876","JABOOPHC_00848","OAPGLPBN_00813","PLNEIAEP_01480","HCLGMOMD_01460","PNEBEOAF_00829","PILLALAE_01485","ECPKFHDG_00919"
"group_3256","","hypothetical protein","8","8","1","2","1692","","","","797","797","797","AJPKBNED_01552","JABOOPHC_01515","OAPGLPBN_01487","PLNEIAEP_00803","HCLGMOMD_00784","PNEBEOAF_01499","PILLALAE_00810","ECPKFHDG_01591"
"gtfB","","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase stabilizing protein GtfB","8","8","1","2","3159","","","","1340","1340","1340","AJPKBNED_00224","JABOOPHC_00186","OAPGLPBN_00176","PLNEIAEP_02115","HCLGMOMD_02090","PNEBEOAF_00186","PILLALAE_02156","ECPKFHDG_00280"
"group_3258","","hypothetical protein","8","8","1","2","1030","","","","986","986","986","AJPKBNED_00883","JABOOPHC_00855","OAPGLPBN_00820","PLNEIAEP_01472","HCLGMOMD_01453","PNEBEOAF_00836","PILLALAE_01478","ECPKFHDG_00926"
"galK","","Galactokinase","8","8","1","2","509","","","","920","920","920","AJPKBNED_02138","JABOOPHC_02083","OAPGLPBN_01970","PLNEIAEP_00259","HCLGMOMD_00269","PNEBEOAF_02056","PILLALAE_00241","ECPKFHDG_02073"
"group_326","","hypothetical protein","8","8","1","2","2585","","","","575","575","575","AJPKBNED_00489","JABOOPHC_00460","OAPGLPBN_00431","PLNEIAEP_01863","HCLGMOMD_01841","PNEBEOAF_00440","PILLALAE_01894","ECPKFHDG_00530"
"scrB","","Sucrose-6-phosphate hydrolase","8","8","1","2","929","","","","1472","1472","1472","AJPKBNED_00819","JABOOPHC_00789","OAPGLPBN_00764","PLNEIAEP_01535","HCLGMOMD_01509","PNEBEOAF_00771","PILLALAE_01565","ECPKFHDG_00861"
"bcr_2","","Bicyclomycin resistance protein","8","8","1","2","2622","","","","1211","1211","1211","AJPKBNED_00525","JABOOPHC_00496","OAPGLPBN_00467","PLNEIAEP_01828","HCLGMOMD_01803","PNEBEOAF_00476","PILLALAE_01858","ECPKFHDG_00566"
"mdtD","","Putative multidrug resistance protein MdtD","8","8","1","2","2625","","","","1976","1976","1976","AJPKBNED_00528","JABOOPHC_00499","OAPGLPBN_00470","PLNEIAEP_01825","HCLGMOMD_01800","PNEBEOAF_00479","PILLALAE_01855","ECPKFHDG_00569"
"pstS","","Phosphate-binding protein PstS","8","8","1","2","1486","","","","977","977","977","AJPKBNED_01360","JABOOPHC_01324","OAPGLPBN_01297","PLNEIAEP_00995","HCLGMOMD_00976","PNEBEOAF_01307","PILLALAE_01000","ECPKFHDG_01401"
"group_3264","","hypothetical protein","8","8","1","2","2072","","","","785","785","785","AJPKBNED_02284","JABOOPHC_02229","OAPGLPBN_02116","PLNEIAEP_00114","HCLGMOMD_00121","PNEBEOAF_02201","PILLALAE_00096","ECPKFHDG_02219"
"metC","","Cystathionine beta-lyase MetC","8","8","1","2","2732","","","","1175","1175","1175","AJPKBNED_02344","JABOOPHC_02305","OAPGLPBN_02172","PLNEIAEP_00037","HCLGMOMD_00040","PNEBEOAF_02258","PILLALAE_00037","ECPKFHDG_02274"
"group_3266","","hypothetical protein","8","8","1","2","2421","","","","155","155","155","AJPKBNED_00338","JABOOPHC_00307","OAPGLPBN_00278","PLNEIAEP_02015","HCLGMOMD_01993","PNEBEOAF_00287","PILLALAE_02045","ECPKFHDG_00378"
"fumC","","Fumarate hydratase class II","8","8","1","2","1070","","","","1385","1385","1385","AJPKBNED_00953","JABOOPHC_00924","OAPGLPBN_00889","PLNEIAEP_01405","HCLGMOMD_01384","PNEBEOAF_00905","PILLALAE_01408","ECPKFHDG_00995"
"yodC","","Putative NAD(P)H nitroreductase YodC","8","8","1","2","2592","","","","629","629","629","AJPKBNED_00496","JABOOPHC_00467","OAPGLPBN_00438","PLNEIAEP_01856","HCLGMOMD_01834","PNEBEOAF_00447","PILLALAE_01887","ECPKFHDG_00537"
"dnaG","","DNA primase","8","8","1","2","1314","","","","1796","1796","1796","AJPKBNED_01193","JABOOPHC_01165","OAPGLPBN_01131","PLNEIAEP_01164","HCLGMOMD_01142","PNEBEOAF_01145","PILLALAE_01168","ECPKFHDG_01235"
"hchA","","Protein/nucleic acid deglycase HchA","8","8","1","2","1503","","","","659","659","659","AJPKBNED_01374","JABOOPHC_01338","OAPGLPBN_01311","PLNEIAEP_00979","HCLGMOMD_00962","PNEBEOAF_01321","PILLALAE_00986","ECPKFHDG_01415"
"yfhP","","putative protein YfhP","8","8","1","2","1050","","","","974","974","974","AJPKBNED_00903","JABOOPHC_00875","OAPGLPBN_00840","PLNEIAEP_01452","HCLGMOMD_01433","PNEBEOAF_00856","PILLALAE_01458","ECPKFHDG_00946"
"topB","","DNA topoisomerase 3","8","8","1","2","2270","","","","2135","2135","2135","AJPKBNED_00628","JABOOPHC_00596","OAPGLPBN_00570","PLNEIAEP_01727","HCLGMOMD_01702","PNEBEOAF_00577","PILLALAE_01757","ECPKFHDG_00669"
"nrnA","","Bifunctional oligoribonuclease and PAP phosphatase NrnA","8","8","1","2","1183","","","","938","938","938","AJPKBNED_01066","JABOOPHC_01039","OAPGLPBN_01005","PLNEIAEP_01292","HCLGMOMD_01268","PNEBEOAF_01019","PILLALAE_01295","ECPKFHDG_01109"
"group_3275","","Protein SprT-like protein","8","8","1","2","2111","","","","455","455","455","AJPKBNED_00791","JABOOPHC_00761","OAPGLPBN_00736","PLNEIAEP_01562","HCLGMOMD_01537","PNEBEOAF_00742","PILLALAE_01593","ECPKFHDG_00833"
"rodA","","Peptidoglycan glycosyltransferase RodA","8","8","1","2","2127","","","","1211","1211","1211","AJPKBNED_00775","JABOOPHC_00745","OAPGLPBN_00720","PLNEIAEP_01578","HCLGMOMD_01553","PNEBEOAF_00726","PILLALAE_01609","ECPKFHDG_00817"
"larB","","Pyridinium-3,5-biscarboxylic acid mononucleotide synthase","8","8","1","2","520","","","","776","776","776","AJPKBNED_02123","JABOOPHC_01997","OAPGLPBN_01959","PLNEIAEP_00270","HCLGMOMD_00284","PNEBEOAF_02041","PILLALAE_00256","ECPKFHDG_02062"
"group_3278","","dITP/XTP pyrophosphatase","8","8","1","2","1718","","","","587","587","587","AJPKBNED_01578","JABOOPHC_01541","OAPGLPBN_01513","PLNEIAEP_00778","HCLGMOMD_00758","PNEBEOAF_01525","PILLALAE_00784","ECPKFHDG_01617"
"group_3279","","hypothetical protein","8","8","1","2","496","","","","179","179","179","AJPKBNED_02150","JABOOPHC_02095","OAPGLPBN_01982","PLNEIAEP_00246","HCLGMOMD_00255","PNEBEOAF_02068","PILLALAE_00229","ECPKFHDG_02085"
"ydaG","","General stress protein 26","8","8","1","2","2596","","","","422","422","422","AJPKBNED_00500","JABOOPHC_00471","OAPGLPBN_00442","PLNEIAEP_01852","HCLGMOMD_01830","PNEBEOAF_00451","PILLALAE_01883","ECPKFHDG_00541"
"cysC","","putative adenylyl-sulfate kinase","8","8","1","2","2381","","","","599","599","599","AJPKBNED_00300","JABOOPHC_00269","OAPGLPBN_00242","PLNEIAEP_02052","HCLGMOMD_02029","PNEBEOAF_00248","PILLALAE_02081","ECPKFHDG_00342"
"sepA_1","","Extracellular elastase","8","8","1","2","3131","","","","1523","1523","1523","AJPKBNED_00246","JABOOPHC_00208","OAPGLPBN_00199","PLNEIAEP_02093","HCLGMOMD_02069","PNEBEOAF_00208","PILLALAE_02134","ECPKFHDG_00303"
"dapX","","putative N-acetyl-LL-diaminopimelate aminotransferase","8","8","1","2","1817","","","","1184","1184","1184","AJPKBNED_01675","JABOOPHC_01639","OAPGLPBN_01610","PLNEIAEP_00681","HCLGMOMD_00661","PNEBEOAF_01622","PILLALAE_00687","ECPKFHDG_01714"
"glpP","","Glycerol uptake operon antiterminator regulatory protein","8","8","1","2","1586","","","","533","533","533","AJPKBNED_01448","JABOOPHC_01413","OAPGLPBN_01385","PLNEIAEP_00907","HCLGMOMD_00886","PNEBEOAF_01397","PILLALAE_00912","ECPKFHDG_01489"
"ypjD","","putative protein YpjD","8","8","1","2","1411","","","","317","317","317","AJPKBNED_01289","JABOOPHC_01260","OAPGLPBN_01226","PLNEIAEP_01070","HCLGMOMD_01047","PNEBEOAF_01240","PILLALAE_01072","ECPKFHDG_01330"
"group_3285","","hypothetical protein","8","8","1","2","624","","","","155","155","155","AJPKBNED_02020","JABOOPHC_01894","OAPGLPBN_01856","PLNEIAEP_00372","HCLGMOMD_00387","PNEBEOAF_01936","PILLALAE_00360","ECPKFHDG_01959"
"smcL","","Sphingomyelinase C","8","8","1","2","2779","","","","983","983","983","AJPKBNED_00009","JABOOPHC_00008","OAPGLPBN_00009","PLNEIAEP_02384","HCLGMOMD_02295","PNEBEOAF_00009","PILLALAE_02336","ECPKFHDG_00009"
"group_3287","","hypothetical protein","8","8","1","2","985","","","","170","170","170","AJPKBNED_00842","JABOOPHC_00813","OAPGLPBN_00788","PLNEIAEP_01506","HCLGMOMD_01485","PNEBEOAF_00795","PILLALAE_01519","ECPKFHDG_00885"
"group_3288","","hypothetical protein","8","8","1","2","3219","","","","623","623","623","AJPKBNED_00167","JABOOPHC_00133","OAPGLPBN_00122","PLNEIAEP_02171","HCLGMOMD_02144","PNEBEOAF_00133","PILLALAE_02212","ECPKFHDG_00228"
"dnaI","","Primosomal protein DnaI","8","8","1","2","1203","","","","920","920","920","AJPKBNED_01085","JABOOPHC_01058","OAPGLPBN_01024","PLNEIAEP_01273","HCLGMOMD_01249","PNEBEOAF_01038","PILLALAE_01276","ECPKFHDG_01128"
"truA","","tRNA pseudouridine synthase A","8","8","1","2","2235","","","","803","803","803","AJPKBNED_00662","JABOOPHC_00631","OAPGLPBN_00605","PLNEIAEP_01692","HCLGMOMD_01667","PNEBEOAF_00612","PILLALAE_01722","ECPKFHDG_00704"
"yhfP","","Putative quinone oxidoreductase YhfP","8","8","1","2","2607","","","","992","992","992","AJPKBNED_00510","JABOOPHC_00481","OAPGLPBN_00452","PLNEIAEP_01843","HCLGMOMD_01818","PNEBEOAF_00461","PILLALAE_01873","ECPKFHDG_00551"
"group_3292","","hypothetical protein","8","8","1","2","697","","","","191","191","191","AJPKBNED_01954","JABOOPHC_01824","OAPGLPBN_01791","PLNEIAEP_00439","HCLGMOMD_00454","PNEBEOAF_01867","PILLALAE_00425","ECPKFHDG_01894"
"fecD","","Fe(3+) dicitrate transport system permease protein FecD","8","8","1","2","2209","","","","965","965","965","AJPKBNED_00687","JABOOPHC_00657","OAPGLPBN_00631","PLNEIAEP_01666","HCLGMOMD_01642","PNEBEOAF_00638","PILLALAE_01697","ECPKFHDG_00729"
"group_3294","","hypothetical protein","8","8","1","2","2496","","","","200","200","200","AJPKBNED_00410","JABOOPHC_00379","OAPGLPBN_00350","PLNEIAEP_01945","HCLGMOMD_01920","PNEBEOAF_00358","PILLALAE_01973","ECPKFHDG_00449"
"murC","","UDP-N-acetylmuramate--L-alanine ligase","8","8","1","2","1151","","","","1313","1313","1313","AJPKBNED_01034","JABOOPHC_01006","OAPGLPBN_00973","PLNEIAEP_01323","HCLGMOMD_01300","PNEBEOAF_00987","PILLALAE_01327","ECPKFHDG_01077"
"bfmBAA","","2-oxoisovalerate dehydrogenase subunit alpha","8","8","1","2","1364","","","","998","998","998","AJPKBNED_01242","JABOOPHC_01214","OAPGLPBN_01180","PLNEIAEP_01116","HCLGMOMD_01093","PNEBEOAF_01194","PILLALAE_01119","ECPKFHDG_01284"
"gpmA_1","","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase","8","8","1","2","2565","","","","686","686","686","AJPKBNED_00470","JABOOPHC_00441","OAPGLPBN_00412","PLNEIAEP_01882","HCLGMOMD_01860","PNEBEOAF_00421","PILLALAE_01913","ECPKFHDG_00511"
"group_3298","","hypothetical protein","8","8","1","2","2557","","","","608","608","608","AJPKBNED_00463","JABOOPHC_00434","OAPGLPBN_00405","PLNEIAEP_01889","HCLGMOMD_01867","PNEBEOAF_00414","PILLALAE_01920","ECPKFHDG_00504"
"bsaA_1","","Glutathione peroxidase BsaA","8","8","1","2","2373","","","","476","476","476","AJPKBNED_00292","JABOOPHC_00261","OAPGLPBN_00234","PLNEIAEP_02060","HCLGMOMD_02037","PNEBEOAF_00240","PILLALAE_02089","ECPKFHDG_00334"
"btuD_7","","Vitamin B12 import ATP-binding protein BtuD","8","8","1","2","601","","","","1694","1697","1694","AJPKBNED_02043","JABOOPHC_01917","OAPGLPBN_01879","PLNEIAEP_00349","HCLGMOMD_00364","PNEBEOAF_01959","PILLALAE_00337","ECPKFHDG_01982"
"thiI","","putative tRNA sulfurtransferase","8","8","1","2","1171","","","","1223","1223","1223","AJPKBNED_01054","JABOOPHC_01027","OAPGLPBN_00993","PLNEIAEP_01303","HCLGMOMD_01280","PNEBEOAF_01007","PILLALAE_01307","ECPKFHDG_01097"
"recO","","DNA repair protein RecO","8","8","1","2","1310","","","","761","761","761","AJPKBNED_01189","JABOOPHC_01161","OAPGLPBN_01127","PLNEIAEP_01168","HCLGMOMD_01146","PNEBEOAF_01141","PILLALAE_01172","ECPKFHDG_01231"
"bcr_1","","Bicyclomycin resistance protein","8","8","1","2","2558","","","","1199","1199","1199","AJPKBNED_00464","JABOOPHC_00435","OAPGLPBN_00406","PLNEIAEP_01888","HCLGMOMD_01866","PNEBEOAF_00415","PILLALAE_01919","ECPKFHDG_00505"
"nifS","","Cysteine desulfurase NifS","8","8","1","2","1170","","","","1139","1139","1139","AJPKBNED_01053","JABOOPHC_01026","OAPGLPBN_00992","PLNEIAEP_01304","HCLGMOMD_01281","PNEBEOAF_01006","PILLALAE_01308","ECPKFHDG_01096"
"asp1","","Accessory Sec system protein Asp1","8","8","1","2","3164","","","","1556","1556","1556","AJPKBNED_00219","JABOOPHC_00181","OAPGLPBN_00171","PLNEIAEP_02120","HCLGMOMD_02095","PNEBEOAF_00181","PILLALAE_02161","ECPKFHDG_00275"
"yhgF","","Protein YhgF","8","8","1","2","2112","","","","2150","2150","2150","AJPKBNED_00790","JABOOPHC_00760","OAPGLPBN_00735","PLNEIAEP_01563","HCLGMOMD_01538","PNEBEOAF_00741","PILLALAE_01594","ECPKFHDG_00832"
"gmuF","","putative mannose-6-phosphate isomerase GmuF","8","8","1","2","2187","","","","938","938","938","AJPKBNED_00717","JABOOPHC_00687","OAPGLPBN_00661","PLNEIAEP_01636","HCLGMOMD_01612","PNEBEOAF_00668","PILLALAE_01667","ECPKFHDG_00759"
"menA","","1,4-dihydroxy-2-naphthoate octaprenyltransferase","8","8","1","2","1822","","","","938","938","938","AJPKBNED_01680","JABOOPHC_01644","OAPGLPBN_01615","PLNEIAEP_00676","HCLGMOMD_00656","PNEBEOAF_01627","PILLALAE_00682","ECPKFHDG_01719"
"group_3309","","hypothetical protein","8","8","1","2","2737","","","","200","200","200","AJPKBNED_02349","JABOOPHC_02310","OAPGLPBN_02177","PLNEIAEP_00032","HCLGMOMD_00035","PNEBEOAF_02263","PILLALAE_00032","ECPKFHDG_02279"
"group_331","","hypothetical protein","8","8","1","2","2606","","","","401","401","401","AJPKBNED_00509","JABOOPHC_00480","OAPGLPBN_00451","PLNEIAEP_01844","HCLGMOMD_01819","PNEBEOAF_00460","PILLALAE_01874","ECPKFHDG_00550"
"group_3310","","hypothetical protein","8","8","1","2","2678","","","","746","746","746","AJPKBNED_00571","JABOOPHC_00540","OAPGLPBN_00513","PLNEIAEP_01785","HCLGMOMD_01759","PNEBEOAF_00520","PILLALAE_01812","ECPKFHDG_00612"
"rlmH","","Ribosomal RNA large subunit methyltransferase H","8","8","1","2","2793","","","","479","479","479","AJPKBNED_00025","JABOOPHC_00024","OAPGLPBN_00025","PLNEIAEP_02368","HCLGMOMD_02279","PNEBEOAF_00025","PILLALAE_02320","ECPKFHDG_00025"
"group_3312","","hypothetical protein","8","8","1","2","1180","","","","689","689","689","AJPKBNED_01063","JABOOPHC_01036","OAPGLPBN_01002","PLNEIAEP_01295","HCLGMOMD_01271","PNEBEOAF_01016","PILLALAE_01298","ECPKFHDG_01106"
"pyrR","","Bifunctional protein PyrR","8","8","1","2","1688","","","","527","527","527","AJPKBNED_01548","JABOOPHC_01511","OAPGLPBN_01483","PLNEIAEP_00807","HCLGMOMD_00788","PNEBEOAF_01495","PILLALAE_00814","ECPKFHDG_01587"
"mhqA","","Putative ring-cleaving dioxygenase MhqA","8","8","1","2","1461","","","","809","809","809","AJPKBNED_01337","JABOOPHC_01301","OAPGLPBN_01274","PLNEIAEP_01020","HCLGMOMD_00999","PNEBEOAF_01283","PILLALAE_01024","ECPKFHDG_01378"
