"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","200","201","202","317","318","319","322","323","324","327","328","329","332","333","334"
"group_599","","hypothetical protein","15","15","1","1","3466","","","","272","284","281","HCCBNODH_01749","GKHFBONB_01704","HMFBFOGB_00240","OCKNCMEG_01693","OIJDMNBO_00804","PPDKNGKA_00786","EPFCPEFD_02589","BJCJJAEL_00283","NFIBCCNE_00857","POKGPMKP_00739","AMPJGNCI_00370","HAOGAOPA_02352","IMDFGEMN_01689","KHHHHCOB_01115","KMFFNEKJ_01727"
"group_600","","hypothetical protein","15","15","1","1","3467","","","","218","218","218","HCCBNODH_01750","GKHFBONB_01705","HMFBFOGB_00239","OCKNCMEG_01692","OIJDMNBO_00803","PPDKNGKA_00785","EPFCPEFD_02588","BJCJJAEL_00282","NFIBCCNE_00856","POKGPMKP_00738","AMPJGNCI_00371","HAOGAOPA_02353","IMDFGEMN_01690","KHHHHCOB_01114","KMFFNEKJ_01726"
"group_601","","hypothetical protein","15","15","1","1","4377","","","","530","530","530","HCCBNODH_01757","GKHFBONB_01712","HMFBFOGB_00232","OCKNCMEG_01684","OIJDMNBO_00795","PPDKNGKA_00777","EPFCPEFD_02581","BJCJJAEL_00275","NFIBCCNE_00849","POKGPMKP_00731","AMPJGNCI_00378","HAOGAOPA_02360","IMDFGEMN_01697","KHHHHCOB_01107","KMFFNEKJ_01719"
"est_2","","Carboxylesterase","15","15","1","1","4341","","","","740","740","740","HCCBNODH_01764","GKHFBONB_01719","HMFBFOGB_00225","OCKNCMEG_01677","OIJDMNBO_00788","PPDKNGKA_00770","EPFCPEFD_02548","BJCJJAEL_00248","NFIBCCNE_00822","POKGPMKP_00698","AMPJGNCI_00411","HAOGAOPA_02407","IMDFGEMN_01704","KHHHHCOB_01100","KMFFNEKJ_01712"
"group_603","","hypothetical protein","15","15","1","1","4311","","","","674","674","674","HCCBNODH_01795","GKHFBONB_01750","HMFBFOGB_00194","OCKNCMEG_01647","OIJDMNBO_00758","PPDKNGKA_00740","EPFCPEFD_02518","BJCJJAEL_00218","NFIBCCNE_00792","POKGPMKP_00668","AMPJGNCI_00441","HAOGAOPA_02437","IMDFGEMN_01733","KHHHHCOB_01071","KMFFNEKJ_01683"
"comFA","","ComF operon protein 1","15","15","1","1","4310","","","","1082","1082","1082","HCCBNODH_01796","GKHFBONB_01751","HMFBFOGB_00193","OCKNCMEG_01646","OIJDMNBO_00757","PPDKNGKA_00739","EPFCPEFD_02517","BJCJJAEL_00217","NFIBCCNE_00791","POKGPMKP_00667","AMPJGNCI_00442","HAOGAOPA_02438","IMDFGEMN_01734","KHHHHCOB_01070","KMFFNEKJ_01682"
"yclQ","","Petrobactin-binding protein YclQ","15","15","1","1","4296","","","","1028","1028","1028","HCCBNODH_01810","GKHFBONB_01765","HMFBFOGB_00179","OCKNCMEG_01632","OIJDMNBO_00743","PPDKNGKA_00725","EPFCPEFD_02503","BJCJJAEL_00203","NFIBCCNE_00777","POKGPMKP_00653","AMPJGNCI_00456","HAOGAOPA_02452","IMDFGEMN_01748","KHHHHCOB_01056","KMFFNEKJ_01668"
"yclP","","Petrobactin import ATP-binding protein YclP","15","15","1","1","4295","","","","761","761","761","HCCBNODH_01811","GKHFBONB_01766","HMFBFOGB_00178","OCKNCMEG_01631","OIJDMNBO_00742","PPDKNGKA_00724","EPFCPEFD_02502","BJCJJAEL_00202","NFIBCCNE_00776","POKGPMKP_00652","AMPJGNCI_00457","HAOGAOPA_02453","IMDFGEMN_01749","KHHHHCOB_01055","KMFFNEKJ_01667"
"tetA","","Tetracycline resistance protein, class B","15","15","1","1","4253","","","","1166","1166","1166","HCCBNODH_01850","GKHFBONB_01805","HMFBFOGB_00139","OCKNCMEG_01589","OIJDMNBO_00700","PPDKNGKA_00682","EPFCPEFD_02463","BJCJJAEL_00163","NFIBCCNE_00737","POKGPMKP_00613","AMPJGNCI_00496","HAOGAOPA_02492","IMDFGEMN_01788","KHHHHCOB_01016","KMFFNEKJ_01628"
"group_608","","hypothetical protein","15","15","1","1","4252","","","","422","422","422","HCCBNODH_01851","GKHFBONB_01806","HMFBFOGB_00138","OCKNCMEG_01588","OIJDMNBO_00699","PPDKNGKA_00681","EPFCPEFD_02462","BJCJJAEL_00162","NFIBCCNE_00736","POKGPMKP_00612","AMPJGNCI_00497","HAOGAOPA_02493","IMDFGEMN_01789","KHHHHCOB_01015","KMFFNEKJ_01627"
"graR_1","","Response regulator protein GraR","15","15","1","1","4214","","","","575","674","641","HCCBNODH_01886","GKHFBONB_01841","HMFBFOGB_00103","OCKNCMEG_01521","OIJDMNBO_00632","PPDKNGKA_00615","EPFCPEFD_02424","BJCJJAEL_00127","NFIBCCNE_00701","POKGPMKP_00574","AMPJGNCI_00535","HAOGAOPA_02528","IMDFGEMN_01824","KHHHHCOB_00980","KMFFNEKJ_01592"
"dhaM","","PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit DhaM","15","15","1","1","4207","","","","362","362","362","HCCBNODH_01893","GKHFBONB_01848","HMFBFOGB_00096","OCKNCMEG_01514","OIJDMNBO_00625","PPDKNGKA_00608","EPFCPEFD_02417","BJCJJAEL_00120","NFIBCCNE_00694","POKGPMKP_00567","AMPJGNCI_00542","HAOGAOPA_02535","IMDFGEMN_01831","KHHHHCOB_00973","KMFFNEKJ_01585"
"dhaK","","PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK","15","15","1","1","4205","","","","968","968","968","HCCBNODH_01895","GKHFBONB_01850","HMFBFOGB_00094","OCKNCMEG_01512","OIJDMNBO_00623","PPDKNGKA_00606","EPFCPEFD_02415","BJCJJAEL_00118","NFIBCCNE_00692","POKGPMKP_00565","AMPJGNCI_00544","HAOGAOPA_02537","IMDFGEMN_01833","KHHHHCOB_00971","KMFFNEKJ_01583"
"tagX","","Putative glycosyltransferase TagX","15","15","1","1","4196","","","","1061","1061","1061","HCCBNODH_01904","GKHFBONB_01859","HMFBFOGB_00085","OCKNCMEG_01503","OIJDMNBO_00614","PPDKNGKA_00597","EPFCPEFD_02406","BJCJJAEL_00109","NFIBCCNE_00683","POKGPMKP_00556","AMPJGNCI_00553","HAOGAOPA_02546","IMDFGEMN_01842","KHHHHCOB_00962","KMFFNEKJ_01574"
"argS","","Arginine--tRNA ligase","15","15","1","1","4160","","","","1292","1661","1636","HCCBNODH_01935","GKHFBONB_01890","HMFBFOGB_00054","OCKNCMEG_01469","OIJDMNBO_00580","PPDKNGKA_00563","EPFCPEFD_02375","BJCJJAEL_00078","NFIBCCNE_00652","POKGPMKP_00525","AMPJGNCI_00584","HAOGAOPA_02577","IMDFGEMN_01873","KHHHHCOB_00931","KMFFNEKJ_01543"
"group_615","","hypothetical protein","15","15","1","1","4142","","","","440","440","440","HCCBNODH_01948","GKHFBONB_01903","HMFBFOGB_00041","OCKNCMEG_01455","OIJDMNBO_00566","PPDKNGKA_00549","EPFCPEFD_02362","BJCJJAEL_00065","NFIBCCNE_00639","POKGPMKP_00512","AMPJGNCI_00597","HAOGAOPA_02591","IMDFGEMN_01895","KHHHHCOB_00909","KMFFNEKJ_01521"
"rclA","","putative pyridine nucleotide-disulfide oxidoreductase RclA","15","15","1","1","4136","","","","1322","1322","1322","HCCBNODH_01949","GKHFBONB_01904","HMFBFOGB_00040","OCKNCMEG_01454","OIJDMNBO_00565","PPDKNGKA_00548","EPFCPEFD_02361","BJCJJAEL_00064","NFIBCCNE_00638","POKGPMKP_00511","AMPJGNCI_00598","HAOGAOPA_02592","IMDFGEMN_01896","KHHHHCOB_00908","KMFFNEKJ_01520"
"group_617","","hypothetical protein","15","15","1","1","4124","","","","380","380","380","HCCBNODH_01961","GKHFBONB_01916","HMFBFOGB_00028","OCKNCMEG_01442","OIJDMNBO_00553","PPDKNGKA_00536","EPFCPEFD_02349","BJCJJAEL_00052","NFIBCCNE_00626","POKGPMKP_00499","AMPJGNCI_00610","HAOGAOPA_02604","IMDFGEMN_01908","KHHHHCOB_00896","KMFFNEKJ_01508"
"ilvE","","putative branched-chain-amino-acid aminotransferase","15","15","1","1","4094","","","","770","1076","1055","HCCBNODH_01988","GKHFBONB_01943","HMFBFOGB_00001","OCKNCMEG_01415","OIJDMNBO_00526","PPDKNGKA_00509","EPFCPEFD_02322","BJCJJAEL_02675","NFIBCCNE_00599","POKGPMKP_00472","AMPJGNCI_00637","HAOGAOPA_02631","IMDFGEMN_01935","KHHHHCOB_00869","KMFFNEKJ_01481"
"yabJ","","2-iminobutanoate/2-iminopropanoate deaminase","15","15","1","1","4036","","","","380","380","380","HCCBNODH_02062","GKHFBONB_02017","HMFBFOGB_02480","OCKNCMEG_01345","OIJDMNBO_00455","PPDKNGKA_00438","EPFCPEFD_02249","BJCJJAEL_02602","NFIBCCNE_00526","POKGPMKP_00399","AMPJGNCI_00710","HAOGAOPA_00032","IMDFGEMN_02008","KHHHHCOB_00796","KMFFNEKJ_01408"
"treA","","Trehalose-6-phosphate hydrolase","15","15","1","1","4014","","","","1640","1640","1640","HCCBNODH_02087","GKHFBONB_02042","HMFBFOGB_02455","OCKNCMEG_01320","OIJDMNBO_00430","PPDKNGKA_00413","EPFCPEFD_02224","BJCJJAEL_02577","NFIBCCNE_00501","POKGPMKP_00374","AMPJGNCI_00735","HAOGAOPA_00057","IMDFGEMN_02033","KHHHHCOB_00771","KMFFNEKJ_01383"
"group_622","","hypothetical protein","15","15","1","1","4007","","","","485","497","487","HCCBNODH_02095","GKHFBONB_02050","HMFBFOGB_02447","OCKNCMEG_01312","OIJDMNBO_00422","PPDKNGKA_00405","EPFCPEFD_02216","BJCJJAEL_02569","NFIBCCNE_00493","POKGPMKP_00366","AMPJGNCI_00743","HAOGAOPA_00065","IMDFGEMN_02041","KHHHHCOB_00763","KMFFNEKJ_01375"
"group_623","","hypothetical protein","15","15","1","1","4006","","","","395","395","395","HCCBNODH_02096","GKHFBONB_02051","HMFBFOGB_02446","OCKNCMEG_01311","OIJDMNBO_00421","PPDKNGKA_00404","EPFCPEFD_02215","BJCJJAEL_02568","NFIBCCNE_00492","POKGPMKP_00365","AMPJGNCI_00744","HAOGAOPA_00066","IMDFGEMN_02042","KHHHHCOB_00762","KMFFNEKJ_01374"
"metN","","Methionine import ATP-binding protein MetN","15","15","1","1","4001","","","","1025","1025","1025","HCCBNODH_02101","GKHFBONB_02056","HMFBFOGB_02441","OCKNCMEG_01306","OIJDMNBO_00416","PPDKNGKA_00399","EPFCPEFD_02210","BJCJJAEL_02563","NFIBCCNE_00487","POKGPMKP_00360","AMPJGNCI_00749","HAOGAOPA_00071","IMDFGEMN_02047","KHHHHCOB_00757","KMFFNEKJ_01369"
"group_626","","hypothetical protein","15","15","1","1","1988","","","","359","359","359","HCCBNODH_02139","GKHFBONB_02094","HMFBFOGB_02403","OCKNCMEG_01268","OIJDMNBO_00378","PPDKNGKA_00361","EPFCPEFD_02176","BJCJJAEL_02524","NFIBCCNE_00448","POKGPMKP_00326","AMPJGNCI_00784","HAOGAOPA_00110","IMDFGEMN_02087","KHHHHCOB_00717","KMFFNEKJ_01329"
"group_627","","hypothetical protein","15","15","1","1","1981","","","","410","728","650","HCCBNODH_02142","GKHFBONB_02097","HMFBFOGB_02400","OCKNCMEG_01266","OIJDMNBO_00376","PPDKNGKA_00359","EPFCPEFD_02171","BJCJJAEL_02519","NFIBCCNE_00443","POKGPMKP_00321","AMPJGNCI_00789","HAOGAOPA_00115","IMDFGEMN_02090","KHHHHCOB_00714","KMFFNEKJ_01326"
"group_628","","hypothetical protein","15","15","1","1","1960","","","","386","386","386","HCCBNODH_02157","GKHFBONB_02112","HMFBFOGB_02385","OCKNCMEG_01251","OIJDMNBO_00361","PPDKNGKA_00344","EPFCPEFD_02149","BJCJJAEL_02497","NFIBCCNE_00421","POKGPMKP_00299","AMPJGNCI_00811","HAOGAOPA_00137","IMDFGEMN_02105","KHHHHCOB_00699","KMFFNEKJ_01311"
"group_629","","hypothetical protein","15","15","1","1","1955","","","","368","368","368","HCCBNODH_02162","GKHFBONB_02117","HMFBFOGB_02380","OCKNCMEG_01246","OIJDMNBO_00356","PPDKNGKA_00339","EPFCPEFD_02144","BJCJJAEL_02492","NFIBCCNE_00416","POKGPMKP_00294","AMPJGNCI_00816","HAOGAOPA_00142","IMDFGEMN_02110","KHHHHCOB_00694","KMFFNEKJ_01306"
"mscS","","Small-conductance mechanosensitive channel","15","15","1","1","1947","","","","881","881","881","HCCBNODH_02170","GKHFBONB_02125","HMFBFOGB_02372","OCKNCMEG_01238","OIJDMNBO_00348","PPDKNGKA_00331","EPFCPEFD_02133","BJCJJAEL_02481","NFIBCCNE_00405","POKGPMKP_00283","AMPJGNCI_00827","HAOGAOPA_00153","IMDFGEMN_02120","KHHHHCOB_00684","KMFFNEKJ_01296"
"btuD_1","","Vitamin B12 import ATP-binding protein BtuD","15","15","1","1","1937","","","","842","842","842","HCCBNODH_02180","GKHFBONB_02135","HMFBFOGB_02362","OCKNCMEG_01228","OIJDMNBO_00338","PPDKNGKA_00321","EPFCPEFD_02123","BJCJJAEL_02471","NFIBCCNE_00395","POKGPMKP_00273","AMPJGNCI_00837","HAOGAOPA_00163","IMDFGEMN_02130","KHHHHCOB_00674","KMFFNEKJ_01286"
"group_633","","hypothetical protein","15","15","1","1","1933","","","","203","203","203","HCCBNODH_02182","GKHFBONB_02137","HMFBFOGB_02360","OCKNCMEG_01226","OIJDMNBO_00336","PPDKNGKA_00319","EPFCPEFD_02121","BJCJJAEL_02469","NFIBCCNE_00393","POKGPMKP_00271","AMPJGNCI_00839","HAOGAOPA_00165","IMDFGEMN_02132","KHHHHCOB_00672","KMFFNEKJ_01284"
"tatC2","","Sec-independent protein translocase protein TatCy","15","15","1","1","1930","","","","605","701","681","HCCBNODH_02185","GKHFBONB_02140","HMFBFOGB_02357","OCKNCMEG_01223","OIJDMNBO_00333","PPDKNGKA_00316","EPFCPEFD_02118","BJCJJAEL_02466","NFIBCCNE_00390","POKGPMKP_00268","AMPJGNCI_00842","HAOGAOPA_00168","IMDFGEMN_02135","KHHHHCOB_00669","KMFFNEKJ_01281"
"group_636","","NAD(P)H-dependent FAD/FMN reductase","15","15","1","1","1924","","","","353","566","523","HCCBNODH_02191","GKHFBONB_02146","HMFBFOGB_02351","OCKNCMEG_01217","OIJDMNBO_00327","PPDKNGKA_00310","EPFCPEFD_02112","BJCJJAEL_02460","NFIBCCNE_00384","POKGPMKP_00262","AMPJGNCI_00848","HAOGAOPA_00174","IMDFGEMN_02141","KHHHHCOB_00663","KMFFNEKJ_01275"
"group_640","","hypothetical protein","15","15","1","1","1904","","","","1001","1001","1001","HCCBNODH_02207","GKHFBONB_02162","HMFBFOGB_02335","OCKNCMEG_01200","OIJDMNBO_00310","PPDKNGKA_00293","EPFCPEFD_02097","BJCJJAEL_02445","NFIBCCNE_00369","POKGPMKP_00247","AMPJGNCI_00863","HAOGAOPA_00189","IMDFGEMN_02157","KHHHHCOB_00647","KMFFNEKJ_01259"
"nupC_1","","Nucleoside permease NupC","15","15","1","1","1893","","","","743","1220","1124","HCCBNODH_02217","GKHFBONB_02172","HMFBFOGB_02325","OCKNCMEG_01190","OIJDMNBO_00300","PPDKNGKA_00283","EPFCPEFD_02087","BJCJJAEL_02435","NFIBCCNE_00359","POKGPMKP_00237","AMPJGNCI_00873","HAOGAOPA_00199","IMDFGEMN_02167","KHHHHCOB_00637","KMFFNEKJ_01249"
"group_643","","hypothetical protein","15","15","1","1","1883","","","","398","398","398","HCCBNODH_02226","GKHFBONB_02181","HMFBFOGB_02316","OCKNCMEG_01181","OIJDMNBO_00291","PPDKNGKA_00274","EPFCPEFD_02077","BJCJJAEL_02426","NFIBCCNE_00350","POKGPMKP_00227","AMPJGNCI_00883","HAOGAOPA_00208","IMDFGEMN_02176","KHHHHCOB_00628","KMFFNEKJ_01240"
"hmp","","Flavohemoprotein","15","15","1","1","1803","","","","1145","1145","1145","HCCBNODH_02288","GKHFBONB_02243","HMFBFOGB_02254","OCKNCMEG_01118","OIJDMNBO_00228","PPDKNGKA_00211","EPFCPEFD_02006","BJCJJAEL_02372","NFIBCCNE_00295","POKGPMKP_00156","AMPJGNCI_00954","HAOGAOPA_00262","IMDFGEMN_02246","KHHHHCOB_00558","KMFFNEKJ_01170"
"group_651","","hypothetical protein","15","15","1","1","1798","","","","1229","1238","1230","HCCBNODH_02292","GKHFBONB_02247","HMFBFOGB_02250","OCKNCMEG_01114","OIJDMNBO_00224","PPDKNGKA_00207","EPFCPEFD_01999","BJCJJAEL_02365","NFIBCCNE_00288","POKGPMKP_00149","AMPJGNCI_00961","HAOGAOPA_00269","IMDFGEMN_02250","KHHHHCOB_00554","KMFFNEKJ_01166"
"murQ","","N-acetylmuramic acid 6-phosphate etherase","15","15","1","1","1757","","","","710","896","858","HCCBNODH_02329","GKHFBONB_02284","HMFBFOGB_02213","OCKNCMEG_01078","OIJDMNBO_00188","PPDKNGKA_00171","EPFCPEFD_01962","BJCJJAEL_02328","NFIBCCNE_00251","POKGPMKP_00112","AMPJGNCI_00998","HAOGAOPA_00306","IMDFGEMN_02288","KHHHHCOB_00516","KMFFNEKJ_01128"
"argC","","N-acetyl-gamma-glutamyl-phosphate reductase","15","15","1","1","1746","","","","1034","1034","1034","HCCBNODH_02339","GKHFBONB_02294","HMFBFOGB_02203","OCKNCMEG_01070","OIJDMNBO_00180","PPDKNGKA_00163","EPFCPEFD_01953","BJCJJAEL_02320","NFIBCCNE_00243","POKGPMKP_00103","AMPJGNCI_01007","HAOGAOPA_00314","IMDFGEMN_02295","KHHHHCOB_00509","KMFFNEKJ_01121"
"fcl","","GDP-L-fucose synthase","15","15","1","1","1724","","","","887","887","887","HCCBNODH_02360","GKHFBONB_02315","HMFBFOGB_02182","OCKNCMEG_01049","OIJDMNBO_00159","PPDKNGKA_00142","EPFCPEFD_01933","BJCJJAEL_02298","NFIBCCNE_00221","POKGPMKP_00083","AMPJGNCI_01027","HAOGAOPA_00336","IMDFGEMN_02316","KHHHHCOB_00488","KMFFNEKJ_01100"
"group_660","","hypothetical protein","15","15","1","1","1681","","","","689","692","690","HCCBNODH_02393","GKHFBONB_02348","HMFBFOGB_02149","OCKNCMEG_01015","OIJDMNBO_00125","PPDKNGKA_00108","EPFCPEFD_01902","BJCJJAEL_02268","NFIBCCNE_00191","POKGPMKP_00052","AMPJGNCI_01058","HAOGAOPA_00366","IMDFGEMN_02352","KHHHHCOB_00452","KMFFNEKJ_01064"
"sbnC","","Staphyloferrin B synthase","15","15","1","1","1671","","","","1754","1754","1754","HCCBNODH_02404","GKHFBONB_02359","HMFBFOGB_02138","OCKNCMEG_01005","OIJDMNBO_00115","PPDKNGKA_00098","EPFCPEFD_01890","BJCJJAEL_02256","NFIBCCNE_00179","POKGPMKP_00040","AMPJGNCI_01070","HAOGAOPA_00378","IMDFGEMN_02363","KHHHHCOB_00441","KMFFNEKJ_01053"
"yfhA","","putative siderophore transport system permease protein YfhA","15","15","1","1","1666","","","","998","998","998","HCCBNODH_02409","GKHFBONB_02364","HMFBFOGB_02133","OCKNCMEG_01000","OIJDMNBO_00110","PPDKNGKA_00093","EPFCPEFD_01885","BJCJJAEL_02251","NFIBCCNE_00174","POKGPMKP_00035","AMPJGNCI_01075","HAOGAOPA_00383","IMDFGEMN_02368","KHHHHCOB_00436","KMFFNEKJ_01048"
"plc","","1-phosphatidylinositol phosphodiesterase","15","15","1","1","1647","","","","986","986","986","HCCBNODH_02420","GKHFBONB_02375","HMFBFOGB_02122","OCKNCMEG_00985","OIJDMNBO_00095","PPDKNGKA_00078","EPFCPEFD_01871","BJCJJAEL_02240","NFIBCCNE_00163","POKGPMKP_00021","AMPJGNCI_01089","HAOGAOPA_00394","IMDFGEMN_02383","KHHHHCOB_00421","KMFFNEKJ_01033"
"nnrD","","ADP-dependent (S)-NAD(P)H-hydrate dehydratase","15","15","1","1","2531","","","","701","812","804","HCCBNODH_02468","GKHFBONB_02423","HMFBFOGB_02074","OCKNCMEG_00897","OIJDMNBO_00007","PPDKNGKA_00009","EPFCPEFD_01812","BJCJJAEL_02195","NFIBCCNE_00118","POKGPMKP_02612","AMPJGNCI_01148","HAOGAOPA_00439","IMDFGEMN_02421","KHHHHCOB_00383","KMFFNEKJ_00995"
"gyrA","","DNA gyrase subunit A","15","15","1","1","2532","","","","1907","2669","2613","HCCBNODH_02469","GKHFBONB_02424","HMFBFOGB_02073","OCKNCMEG_00896","OIJDMNBO_00006","PPDKNGKA_00008","EPFCPEFD_01811","BJCJJAEL_02194","NFIBCCNE_00117","POKGPMKP_02611","AMPJGNCI_01149","HAOGAOPA_00440","IMDFGEMN_02422","KHHHHCOB_00382","KMFFNEKJ_00994"
"gyrB","","DNA gyrase subunit B","15","15","1","1","2533","","","","494","1934","1838","HCCBNODH_02470","GKHFBONB_02425","HMFBFOGB_02072","OCKNCMEG_00895","OIJDMNBO_00005","PPDKNGKA_00006","EPFCPEFD_01810","BJCJJAEL_02193","NFIBCCNE_00116","POKGPMKP_02610","AMPJGNCI_01150","HAOGAOPA_00441","IMDFGEMN_02423","KHHHHCOB_00381","KMFFNEKJ_00993"
"bceB_2","","Bacitracin export permease protein BceB","15","15","1","1","2550","","","","1880","1880","1880","HCCBNODH_02486","GKHFBONB_02441","HMFBFOGB_02056","OCKNCMEG_00876","OIJDMNBO_02810","PPDKNGKA_02787","EPFCPEFD_01793","BJCJJAEL_02173","NFIBCCNE_00096","POKGPMKP_02593","AMPJGNCI_01167","HAOGAOPA_00461","IMDFGEMN_02441","KHHHHCOB_00363","KMFFNEKJ_00975"
"rarD","","Protein RarD","15","15","1","1","2560","","","","470","908","820","HCCBNODH_02492","GKHFBONB_02447","HMFBFOGB_02050","OCKNCMEG_00868","OIJDMNBO_02802","PPDKNGKA_02779","EPFCPEFD_01787","BJCJJAEL_02167","NFIBCCNE_00090","POKGPMKP_02587","AMPJGNCI_01173","HAOGAOPA_00467","IMDFGEMN_02448","KHHHHCOB_00356","KMFFNEKJ_00968"
"group_681","","hypothetical protein","15","15","1","1","2571","","","","1124","1124","1124","HCCBNODH_02502","GKHFBONB_02457","HMFBFOGB_02040","OCKNCMEG_00859","OIJDMNBO_02793","PPDKNGKA_02770","EPFCPEFD_01779","BJCJJAEL_02159","NFIBCCNE_00082","POKGPMKP_02579","AMPJGNCI_01181","HAOGAOPA_00475","IMDFGEMN_02462","KHHHHCOB_00342","KMFFNEKJ_00954"
"hisC_3","","Histidinol-phosphate aminotransferase","15","15","1","1","2575","","","","1013","1013","1013","HCCBNODH_02507","GKHFBONB_02462","HMFBFOGB_02035","OCKNCMEG_00855","OIJDMNBO_02789","PPDKNGKA_02766","EPFCPEFD_01775","BJCJJAEL_02155","NFIBCCNE_00078","POKGPMKP_02575","AMPJGNCI_01185","HAOGAOPA_00479","IMDFGEMN_02466","KHHHHCOB_00338","KMFFNEKJ_00950"
"lipA_2","","Lipase 1","15","15","1","1","2582","","","","2045","2045","2045","HCCBNODH_02513","GKHFBONB_02468","HMFBFOGB_02029","OCKNCMEG_00848","OIJDMNBO_02782","PPDKNGKA_02759","EPFCPEFD_01768","BJCJJAEL_02149","NFIBCCNE_00072","POKGPMKP_02569","AMPJGNCI_01191","HAOGAOPA_00485","IMDFGEMN_02472","KHHHHCOB_00332","KMFFNEKJ_00944"
"group_684","","hypothetical protein","15","15","1","1","2591","","","","242","500","448","HCCBNODH_02522","GKHFBONB_02477","HMFBFOGB_02020","OCKNCMEG_00839","OIJDMNBO_02773","PPDKNGKA_02750","EPFCPEFD_01759","BJCJJAEL_02140","NFIBCCNE_00063","POKGPMKP_02560","AMPJGNCI_01200","HAOGAOPA_00494","IMDFGEMN_02481","KHHHHCOB_00323","KMFFNEKJ_00935"
"group_685","","hypothetical protein","15","15","1","1","2607","","","","959","959","959","HCCBNODH_02535","GKHFBONB_02490","HMFBFOGB_02007","OCKNCMEG_00827","OIJDMNBO_02761","PPDKNGKA_02738","EPFCPEFD_01747","BJCJJAEL_02127","NFIBCCNE_00051","POKGPMKP_02548","AMPJGNCI_01212","HAOGAOPA_00506","IMDFGEMN_02492","KHHHHCOB_00312","KMFFNEKJ_00924"
"group_686","","hypothetical protein","15","15","1","1","2611","","","","1883","1907","1895","HCCBNODH_02539","GKHFBONB_02494","HMFBFOGB_02003","OCKNCMEG_00823","OIJDMNBO_02757","PPDKNGKA_02734","EPFCPEFD_01743","BJCJJAEL_02123","NFIBCCNE_00047","POKGPMKP_02544","AMPJGNCI_01216","HAOGAOPA_00510","IMDFGEMN_02496","KHHHHCOB_00308","KMFFNEKJ_00920"
"mdtD","","Putative multidrug resistance protein MdtD","15","15","1","1","263","","","","1931","1937","1932","HCCBNODH_00286","GKHFBONB_00240","HMFBFOGB_01701","OCKNCMEG_00533","OIJDMNBO_02467","PPDKNGKA_02444","EPFCPEFD_01462","BJCJJAEL_01839","NFIBCCNE_02414","POKGPMKP_02264","AMPJGNCI_01496","HAOGAOPA_00794","IMDFGEMN_00214","KHHHHCOB_00013","KMFFNEKJ_00627"
"isdB","","Iron-regulated surface determinant protein B","15","15","1","1","3214","","","","1925","1958","1936","HCCBNODH_01514","GKHFBONB_01468","HMFBFOGB_00474","OCKNCMEG_01936","OIJDMNBO_01047","PPDKNGKA_01029","EPFCPEFD_00235","BJCJJAEL_00580","NFIBCCNE_01154","POKGPMKP_01037","AMPJGNCI_00071","HAOGAOPA_02055","IMDFGEMN_01454","KHHHHCOB_01350","KMFFNEKJ_01962"
"ybiV","","Sugar phosphatase YbiV","15","15","1","1","2889","","","","800","803","800","HCCBNODH_00116","GKHFBONB_00070","HMFBFOGB_01871","OCKNCMEG_00704","OIJDMNBO_02638","PPDKNGKA_02615","EPFCPEFD_01621","BJCJJAEL_02003","NFIBCCNE_02578","POKGPMKP_02423","AMPJGNCI_01337","HAOGAOPA_00630","IMDFGEMN_00041","KHHHHCOB_00187","KMFFNEKJ_00799"
"group_80","","hypothetical protein","15","15","1","1","625","","","","242","242","242","HCCBNODH_00658","GKHFBONB_00612","HMFBFOGB_01329","OCKNCMEG_00151","OIJDMNBO_02083","PPDKNGKA_02062","EPFCPEFD_01106","BJCJJAEL_00331","NFIBCCNE_00905","POKGPMKP_01908","AMPJGNCI_01852","HAOGAOPA_02304","IMDFGEMN_00578","KHHHHCOB_02228","KMFFNEKJ_00263"
"sirC","","Precorrin-2 dehydrogenase","15","15","1","1","2640","","","","605","608","607","HCCBNODH_00013","GKHFBONB_02522","HMFBFOGB_01975","OCKNCMEG_00794","OIJDMNBO_02728","PPDKNGKA_02705","EPFCPEFD_01714","BJCJJAEL_02095","NFIBCCNE_00019","POKGPMKP_02515","AMPJGNCI_01244","HAOGAOPA_00538","IMDFGEMN_02524","KHHHHCOB_00280","KMFFNEKJ_00892"
"citN","","Citrate transporter","15","15","1","1","2641","","","","1370","1370","1370","HCCBNODH_00014","GKHFBONB_02523","HMFBFOGB_01974","OCKNCMEG_00793","OIJDMNBO_02727","PPDKNGKA_02704","EPFCPEFD_01713","BJCJJAEL_02094","NFIBCCNE_00018","POKGPMKP_02514","AMPJGNCI_01245","HAOGAOPA_00539","IMDFGEMN_02525","KHHHHCOB_00279","KMFFNEKJ_00891"
